"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores[0]","Home Line Scores[1]","Home Line Scores[2]","Home Line Scores[3]","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores[0]","Away Line Scores[1]","Away Line Scores[2]","Away Line Scores[3]","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"401523997","2023","1","regular","2023-09-02T19:30:00.000Z","false","true","false","false","67475","3765","Husky Stadium","264","Washington","Pac-12","fbs","56","0","28","7","21","0.9956741272816851","1673","1774","68","Boise State","Mountain West","fbs","19","6","6","7","0","0.00432587271831486","1641","1540","3.2106801679","",""
"401525827","2023","2","regular","2023-09-09T23:00:00.000Z","false","true","false","false","36447","3653","Albertsons Stadium","68","Boise State","Mountain West","fbs","16","7","3","0","6","0.1439588740561771","1540","1544","2116","UCF","Big 12","fbs","18","3","6","0","9","0.8560411259438229","1668","1664","8.6069410748","",""
"401532582","2023","3","regular","2023-09-16T16:00:00.000Z","false","true","false","false","35610","3653","Albertsons Stadium","68","Boise State","Mountain West","fbs","42","7","14","7","14","0.9928481304813956","1541","1541","155","North Dakota","MVFC","fcs","18","0","6","12","0","0.007151869518604359","","","4.9131660441","",""
"401532583","2023","4","regular","2023-09-23T02:30:00.000Z","false","true","false","true","23374","7311","Snapdragon Stadium","21","San Diego State","Mountain West","fbs","31","7","10","0","14","0.8459901023303856","1434","1436","68","Boise State","Mountain West","fbs","34","0","17","10","7","0.15400989766961437","1544","1542","6.4622742753","",""
"401531429","2023","5","regular","2023-09-30T20:00:00.000Z","false","true","false","false","30364","3805","Liberty Bowl Memorial Stadium","235","Memphis","American Athletic","fbs","35","0","14","7","14","0.6995553221633581","1558","1559","68","Boise State","Mountain West","fbs","32","3","14","0","15","0.30044467783664186","1542","1541","8.3698083386","",""
"401532592","2023","6","regular","2023-10-08T00:00:00.000Z","false","true","false","true","37491","3653","Albertsons Stadium","68","Boise State","Mountain West","fbs","35","0","14","7","14","0.9904839444301113","1541","1541","23","San José State","Mountain West","fbs","27","14","13","0","0","0.00951605556988866","1348","1348","5.9833993765","",""
"401532593","2023","7","regular","2023-10-15T01:45:00.000Z","false","true","false","true","34901","5388","Canvas Stadium","36","Colorado State","Mountain West","fbs","31","0","0","10","21","0.08530253176551796","1260","1268","68","Boise State","Mountain West","fbs","30","7","10","0","13","0.9146974682344821","1541","1533","4.9430309459","",""
"401532607","2023","9","regular","2023-10-28T21:30:00.000Z","false","true","false","true","35189","3653","Albertsons Stadium","68","Boise State","Mountain West","fbs","32","8","7","14","3","0.9989107346970831","1533","1585","2751","Wyoming","Mountain West","fbs","7","7","0","0","0","0.0010892653029168642","1433","1381","4.1040101810","",""
"401532608","2023","10","regular","2023-11-05T02:00:00.000Z","false","true","false","true","41031","3660","Bulldog Stadium","278","Fresno State","Mountain West","fbs","37","10","10","7","10","0.38229536433222466","1734","1735","68","Boise State","Mountain West","fbs","30","3","7","7","13","0.6177046356677753","1585","1584","5.5771692476","",""
"401532616","2023","11","regular","2023-11-12T03:00:00.000Z","false","true","false","true","34076","3653","Albertsons Stadium","68","Boise State","Mountain West","fbs","42","15","17","7","3","0.9906511266509583","1584","1597","167","New Mexico","Mountain West","fbs","14","7","7","0","0","0.009348873349041664","1029","1016","3.3070753691","",""
"401532619","2023","12","regular","2023-11-19T00:00:00.000Z","false","true","false","true","17821","3905","Romney Stadium","328","Utah State","Mountain West","fbs","10","7","3","0","0","0.0032809489633981166","1406","1330","68","Boise State","Mountain West","fbs","45","0","31","7","7","0.9967190510366019","1597","1673","3.3071218756","",""
"401532625","2023","13","regular","2023-11-24T21:00:00.000Z","false","true","false","true","36390","3653","Albertsons Stadium","68","Boise State","Mountain West","fbs","27","3","14","7","3","0.81636452272794","1673","1678","2005","Air Force","Mountain West","fbs","19","0","6","13","0","0.18363547727205998","1565","1560","5.5712216351","",""
"401539482","2023","14","regular","2023-12-02T20:00:00.000Z","false","true","false","true","31473","6501","Allegiant Stadium","2439","UNLV","Mountain West","fbs","20","7","10","3","0","0.0006221427861932528","1551","1502","68","Boise State","Mountain West","fbs","44","14","17","10","3","0.9993778572138068","1678","1727","3.2198108742","","Mountain West Championship"
